SurveyName	ProjectCode	DataPolicy	Date	Ship	Gear	Country	Originator	Collator	StNo	HaulNo	CoordRefSys	ShootLat	ShootLong	HaulLat	HaulLong	Depth	Distance	GroundSpeed	WingSpread	DoorSpread	WarpLength	LTREF	PARAM	LTSZC	LTSRC	TYPPL	LTPRP	UnitWgt	LT_Weight	UnitItem	LT_Items	Shot_timestamp	HaulDur
ZZZ_UnknownCountry2_2016	12384	CB	2016-11-24	ZZ99	BOT	IT	600	600	U2_Unknown_3_B_2016-11-24	3	4326	40.0	20.0	40.0	20.0	23.0	2760	23.0	23.0			TSG-ML	G194							items/haul	25	2016-11-24T02:45:00Z	30
ZZZ_UnknownCountry2_2016	12384	CB	2016-11-24	ZZ99	BOT	IT	600	600	U2_Unknown_3_B_2016-11-24	3	4326	40.0	20.0	40.0	20.0	23.0	2760	23.0	23.0			TSG-ML	G132							items/haul	34	2016-11-24T02:45:00Z	30
ZZZ_UnknownCountry2_2016	12384	CB	2016-11-24	ZZ99	BOT	IT	600	600	U2_Unknown_3_B_2016-11-24	3	4326	40.0	20.0	40.0	20.0	23.0	2760	23.0	23.0			TSG-ML	G175							items/haul	27	2016-11-24T02:45:00Z	30
ZZZ_UnknownCountry2_2016	12384	CB	2016-11-24	ZZ99	BOT	IT	600	600	U2_Unknown_3_B_2016-11-24	3	4326	40.0	20.0	40.0	20.0	23.0	2760	23.0	23.0			TSG-ML	G66							items/haul	25	2016-11-24T02:45:00Z	30
ZZZ_UnknownCountry2_2016	12384	CB	2016-11-24	ZZ99	BOT	IT	600	600	U2_Unknown_3_B_2016-11-24	3	4326	40.0	20.0	40.0	20.0	23.0	2760	23.0	23.0			TSG-ML	G187							items/haul	25	2016-11-24T02:45:00Z	30
ZZZ_UnknownCountry2_2016	12384	CB	2016-11-24	ZZ99	BOT	IT	600	600	U2_Unknown_3_B_2016-11-24	3	4326	40.0	20.0	40.0	20.0	23.0	2760	23.0	23.0			TSG-ML	G27							items/haul	30	2016-11-24T02:45:00Z	30
ZZZ_UnknownCountry2_2016	12384	CB	2016-11-24	ZZ99	BOT	IT	600	600	U2_Unknown_3_B_2016-11-24	3	4326	40.0	20.0	40.0	20.0	23.0	2760	23.0	23.0			TSG-ML	G59							items/haul	25	2016-11-24T02:45:00Z	30
ZZZ_UnknownCountry2_2016	12384	CB	2016-11-24	ZZ99	BOT	IT	600	600	U2_Unknown_3_B_2016-11-24	3	4326	40.0	20.0	40.0	20.0	23.0	2760	23.0	23.0			TSG-ML	G173							items/haul	27	2016-11-24T02:45:00Z	30
ZZZ_UnknownCountry2_2016	12384	CB	2016-11-24	ZZ99	BOT	IT	600	600	U2_Unknown_3_B_2016-11-24	3	4326	40.0	20.0	40.0	20.0	23.0	2760	23.0	23.0			TSG-ML	G182							items/haul	30	2016-11-24T02:45:00Z	30
ZZZ_UnknownCountry2_2016	12384	CB	2016-11-24	ZZ99	BOT	IT	600	600	U2_Unknown_3_B_2016-11-24	3	4326	40.0	20.0	40.0	20.0	23.0	2760	23.0	23.0			TSG-ML	G124							items/haul	27	2016-11-24T02:45:00Z	30
